"filename", "language", "vue", "TypeScript React", "TypeScript", "SCSS", "CSS", "XML", "comment", "blank", "total"
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\404.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\bug.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\component.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\fullscreen-exit.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\fullscreen.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\lock.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\menu.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\AdminTemplate-main-v1.2.6\src\icons\svg\unocss.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\LeftMode.vue", "vue", 143, 0, 0, 0, 0, 0, 5, 19, 167
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\LeftTopMode.vue", "vue", 93, 0, 0, 0, 0, 0, 4, 14, 111
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\TopMode.vue", "vue", 62, 0, 0, 0, 0, 0, 3, 11, 76
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\AppMain.vue", "vue", 36, 0, 0, 0, 0, 0, 0, 7, 43
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\Breadcrumb\index.vue", "vue", 65, 0, 0, 0, 0, 0, 0, 11, 76
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\Hamburger\index.vue", "vue", 29, 0, 0, 0, 0, 0, 0, 7, 36
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\Logo\index.vue", "vue", 60, 0, 0, 0, 0, 0, 0, 8, 68
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\NavigationBar\index.vue", "vue", 118, 0, 0, 0, 0, 0, 3, 8, 129
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\RightPanel\index.vue", "vue", 32, 0, 0, 0, 0, 0, 8, 6, 46
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\Settings\SelectLayoutMode.vue", "vue", 94, 0, 0, 0, 0, 0, 0, 13, 107
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\Settings\index.vue", "vue", 72, 0, 0, 0, 0, 0, 0, 8, 80
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\Sidebar\SidebarItem.vue", "vue", 112, 0, 0, 0, 0, 0, 0, 12, 124
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\Sidebar\SidebarItemLink.vue", "vue", 15, 0, 0, 0, 0, 0, 0, 4, 19
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\Sidebar\index.vue", "vue", 151, 0, 0, 0, 0, 0, 0, 15, 166
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\TagsView\ScrollPane.vue", "vue", 143, 0, 0, 0, 0, 0, 1, 15, 159
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\TagsView\index.vue", "vue", 253, 0, 0, 0, 0, 0, 0, 21, 274
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\components\index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\hooks\useResize.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 8, 8, 56
"d:\vscode\AdminTemplate-main-v1.2.6\src\layouts\index.vue", "vue", 51, 0, 0, 0, 0, 0, 4, 9, 64
"d:\vscode\AdminTemplate-main-v1.2.6\src\main.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 6, 4, 33
"d:\vscode\AdminTemplate-main-v1.2.6\src\plugins\element-plus-icon\index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 1, 2, 10
"d:\vscode\AdminTemplate-main-v1.2.6\src\plugins\element-plus\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 1, 2, 8
"d:\vscode\AdminTemplate-main-v1.2.6\src\plugins\index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\vscode\AdminTemplate-main-v1.2.6\src\plugins\vxe-table\index.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 15, 4, 67
"d:\vscode\AdminTemplate-main-v1.2.6\src\router\index.ts", "TypeScript", 0, 0, 261, 0, 0, 0, 10, 10, 281
"d:\vscode\AdminTemplate-main-v1.2.6\src\router\permission.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 6, 4, 49
"d:\vscode\AdminTemplate-main-v1.2.6\src\service\BaseService.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 11, 21
"d:\vscode\AdminTemplate-main-v1.2.6\src\service\UserService.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\vscode\AdminTemplate-main-v1.2.6\src\service\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 4, 8
"d:\vscode\AdminTemplate-main-v1.2.6\src\service\index.vue", "vue", 222, 0, 0, 0, 0, 0, 0, 19, 241
"d:\vscode\AdminTemplate-main-v1.2.6\src\store\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 3, 6
"d:\vscode\AdminTemplate-main-v1.2.6\src\store\modules\PaymentMethod.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 5, 30
"d:\vscode\AdminTemplate-main-v1.2.6\src\store\modules\app.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 7, 7, 48
"d:\vscode\AdminTemplate-main-v1.2.6\src\store\modules\permission.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 1, 7, 44
"d:\vscode\AdminTemplate-main-v1.2.6\src\store\modules\settings.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 8, 5, 40
"d:\vscode\AdminTemplate-main-v1.2.6\src\store\modules\tags-view.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 14, 13, 96
"d:\vscode\AdminTemplate-main-v1.2.6\src\store\modules\user.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 7, 7, 57
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\element-plus.scss", "SCSS", 0, 0, 0, 16, 0, 0, 5, 3, 24
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\index.scss", "SCSS", 0, 0, 0, 53, 0, 0, 7, 11, 71
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\mixins.scss", "SCSS", 0, 0, 0, 31, 0, 0, 9, 3, 43
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\core\element-plus.scss", "SCSS", 0, 0, 0, 27, 0, 0, 2, 2, 31
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\core\error-page.scss", "SCSS", 0, 0, 0, 3, 0, 0, 1, 2, 6
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\core\index.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\core\layouts.scss", "SCSS", 0, 0, 0, 65, 0, 0, 7, 6, 78
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\core\login.scss", "SCSS", 0, 0, 0, 7, 0, 0, 1, 2, 10
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\core\other.scss", "SCSS", 0, 0, 0, 3, 0, 0, 2, 2, 7
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\core\vxe-table.scss", "SCSS", 0, 0, 0, 29, 0, 0, 16, 14, 59
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\dark-blue\element-plus.css", "CSS", 0, 0, 0, 0, 27, 0, 12, 3, 42
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\dark-blue\element-plus.scss", "SCSS", 0, 0, 0, 101, 0, 0, 13, 14, 128
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\dark-blue\index.scss", "SCSS", 0, 0, 0, 3, 0, 0, 1, 1, 5
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\dark-blue\variables.scss", "SCSS", 0, 0, 0, 7, 0, 0, 8, 2, 17
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\dark\index.scss", "SCSS", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\dark\variables.scss", "SCSS", 0, 0, 0, 7, 0, 0, 8, 2, 17
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\theme\register.scss", "SCSS", 0, 0, 0, 2, 0, 0, 1, 1, 4
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\transition.scss", "SCSS", 0, 0, 0, 20, 0, 0, 3, 3, 26
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\variables.css", "CSS", 0, 0, 0, 0, 32, 0, 11, 2, 45
"d:\vscode\AdminTemplate-main-v1.2.6\src\styles\vxe-table.scss", "SCSS", 0, 0, 0, 30, 0, 0, 5, 4, 39
"d:\vscode\AdminTemplate-main-v1.2.6\src\types\entity\application.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 5, 23
"d:\vscode\AdminTemplate-main-v1.2.6\src\types\entity\goodOrService.ts", "TypeScript", 0, 0, 172, 0, 0, 0, 2, 22, 196
"d:\vscode\AdminTemplate-main-v1.2.6\src\types\entity\user.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 3, 5
"d:\vscode\AdminTemplate-main-v1.2.6\src\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 7, 7
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\Date.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 10, 9, 49
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\Timeline.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 13, 84
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\approver.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 2, 9, 102
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\cache\cookies.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 1, 3, 15
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\cache\local-storage.ts", "TypeScript", 0, 0, 96, 0, 0, 0, 13, 14, 123
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\index.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 5, 5, 35
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\permission.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 1, 2, 13
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\requestTransform.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\service.ts", "TypeScript", 0, 0, 98, 0, 0, 0, 20, 5, 123
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\swithcase.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\table.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 1, 2, 23
"d:\vscode\AdminTemplate-main-v1.2.6\src\utils\validate.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 14, 14, 85
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\applicationReview\approver\index.vue", "vue", 685, 0, 0, 0, 0, 0, 26, 20, 731
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\applicationReview\fo\index.vue", "vue", 685, 0, 0, 0, 0, 0, 26, 26, 737
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\applicationReview\user\index.vue", "vue", 783, 0, 0, 0, 0, 0, 27, 51, 861
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\application\approver\index.vue", "vue", 237, 0, 0, 0, 0, 0, 1, 21, 259
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\application\fo\index.vue", "vue", 203, 0, 0, 0, 0, 0, 1, 11, 215
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\application\shareLogic\index.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 12, 100
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\application\user\index.vue", "vue", 266, 0, 0, 0, 0, 0, 1, 14, 281
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\error-page\403.vue", "vue", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\error-page\404.vue", "vue", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\error-page\components\ErrorPageLayout.vue", "vue", 23, 0, 0, 0, 0, 0, 0, 2, 25
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\login\index.vue", "vue", 155, 0, 0, 0, 0, 0, 0, 9, 164
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\redirect\index.vue", "vue", 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\result\index.vue", "vue", 20, 0, 0, 0, 0, 0, 0, 4, 24
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\GoodOrService\AutoPay.vue", "vue", 86, 0, 0, 0, 0, 0, 0, 7, 93
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\GoodOrService\BankDraft.vue", "vue", 136, 0, 0, 0, 0, 0, 0, 8, 144
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\GoodOrService\CashierOrder.vue", "vue", 69, 0, 0, 0, 0, 0, 0, 5, 74
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\GoodOrService\TelegraphicTransfer.vue", "vue", 223, 0, 0, 0, 0, 0, 0, 15, 238
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\GoodOrService\index.vue", "vue", 587, 0, 0, 0, 0, 0, 3, 54, 644
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\Stipend\index.vue", "vue", 231, 0, 0, 0, 0, 0, 1, 13, 245
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\Trip\index.vue", "vue", 171, 0, 0, 0, 0, 0, 0, 13, 184
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\vxe-table\index.vue", "vue", 361, 0, 0, 0, 0, 0, 5, 8, 374
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\vxe-table\tsx\RoleColumnSolts.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\table\vxe-table\tsx\StatusColumnSolts.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\timeline\index.vue", "vue", 66, 0, 0, 0, 0, 0, 0, 6, 72
"d:\vscode\AdminTemplate-main-v1.2.6\src\views\userInfo\index.vue", "vue", 207, 0, 0, 0, 0, 0, 0, 9, 216
"Total", "-", 8015, 18, 2814, 414, 59, 16, 484, 1082, 12902
